bins	DG_001_EKDN220039120_1A_HCHH2DSX5_L1	DG_002_EKDN220039121_1A_HCHH2DSX5_L1	DG_003_EKDN220039122_1A_HCHH2DSX5_L1	DG_004_EKDN220039123_1A_HCHH2DSX5_L1	PW_001_EKDN220039127_1A_HCHH2DSX5_L1	PW_002_EKDN220039128_1A_HCHH2DSX5_L1	PW_003_EKDN220039129_1A_HCHH2DSX5_L1	SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	WG_001_EKDN220039117_1A_HCHH2DSX5_L1	WG_002_EKDN220039118_1A_HCHH2DSX5_L1	WG_003_EKDN220039119_1A_HCHH2DSX5_L1	W_001_EKDN220039130_1A_HCHMYDSX5_L1	W_003_EKDN220039132_1A_HCHH2DSX5_L1	merged_SZ_002
PW_ZS_MAG_00017	0.0014226699048381184	0.0028770116722879194	0.05026234105438044	0.08061484436069667	0.21950802738439731	0.5717814864691017	10.35949072248194	0.03498504107765171	0.4112086118509172	0.004390172613159418	0.0005170054525373762	0.00849665582835419	0.517732397193511	0.3517857124004844	0.0
PW_ZS_MAG_00018	0.026953844814329674	0.03802629153414596	0.07081214343549455	0.2758822098275475	1.665294127383587	2.2000770012677093	1.7077402826146058	0.07601018248801616	2.6120063478430233	0.028416097981165525	0.006987706325871814	0.02139256656607677	0.5465174045312389	0.6968846003586591	0.0006314738827163671
PW_ZS_MAG_00019	0.0021383639928998274	0.0014002522837518897	0.10587143658138236	0.23941096451164862	0.6743737148216407	0.3023685416342672	9.568605509605433	0.036575334466643905	0.3496444848829359	0.0021657731865392256	0.0005618884696076731	0.004845915642843907	0.5389785546893853	0.40675511494283695	1.4300448855338447e-05
PW_ZS_MAG_00020	0.46613611706490965	0.5599913717173779	0.7590263838328853	2.399655341218809	26.103828575964798	37.011771510223525	38.18180868838763	0.2984830571904875	12.819206292503505	0.3727503147007791	0.01742194853649962	0.058709178678218926	12.102492042701021	21.616636566907466	0.04381452311018875
SZ_ZS_MAG_00001	46.18187457789095	41.46761364940917	40.92413452211949	205.88511312630803	273.7119153126325	243.6362400139667	288.9863248581562	3.3512716231384423	167.8215973841044	2.6592828900655836	0.6707820177971355	2.560580094257844	118.34280041709464	160.56386902500446	0.07990321220924565
SZ_ZS_MAG_00004	0.05908013844421085	0.13453336745058375	0.11657999136672902	0.44773823185223355	4.963301155851806	4.926351039571994	3.5591088451334363	0.24684208698339477	10.998492721613868	0.12751440473313055	0.028514248086752323	0.09368941913963572	1.6528691449872095	2.1351684586492548	4.6426867759978056e-05
SZ_ZS_MAG_00008	1.9268831247791567	0.5235684578268934	2.195064657348994	1.8689961441920064	24.474519283237424	36.17475940312693	34.80084880180455	1.2431708036193767	71.13008728417765	0.2683026227991024	0.07671956393271555	0.19830280341688136	2.812447770298958	3.6031295718875294	0.004642894483856713
SZ_ZS_MAG_00009	3.9192279242196135	0.46687088268312	1.9932566943112495	2.5731200668343326	39.95057844766819	53.42757473174892	42.43853416992281	1.5287552975781258	117.98796425059393	0.5848745550904613	0.08830207725979236	0.3597291817145443	4.048920642932356	13.007701612552323	0.006631218943356163
SZ_ZS_MAG_00010	0.2842644160114062	0.10399104505470905	0.3041575166331025	0.9502375916549445	39.72694219652529	29.505860519193426	39.88565859439743	0.3327671837911442	36.55282085274377	0.11719604741038589	0.022064933473212187	0.033339573909220425	3.0153158349834315	3.273037001555084	0.0009543583394895771
SZ_ZS_MAG_00011	2.1109492387562727	1.4553623988646371	0.9233177570804261	26.440645958160115	86.82401534200066	61.90125887762754	62.38214032013459	0.44658934821595625	26.95030125750862	0.5235286601532375	0.05130998720739385	0.22099645427289777	7.858283478676201	14.162606421249416	0.004508595079790268
SZ_ZS_MAG_00013	0.23851067347773494	0.1183465306351714	0.17060120045473928	0.6136824467315021	10.241772090811782	11.403966389798903	9.920135029402202	0.16080824606553215	9.051466708227158	0.08819355058183369	0.014794058010112174	0.0472033296915162	1.1909109896117231	1.3260412603904523	0.0011400127054851145
SZ_ZS_MAG_00014	0.17420918959381707	0.40457122284502056	0.3550042033000026	2.716051320814747	17.80164400966301	27.95829562398924	25.2183604539721	0.3354016238107984	25.88700671402934	0.3246109298358947	0.019020161449629605	0.06498487570764708	14.723973357383588	20.454114171204218	0.002136056098421846
SZ_ZS_MAG_00016	0.8226075906760152	0.13349329306547797	0.6765818025732518	0.8059219583847361	9.713928900266549	13.324503381130825	11.989184704596887	0.46059730652103537	43.758627300514824	0.10258781701800679	0.02403873619459503	0.0631776608102259	1.1977931938883855	3.7156931922929055	0.0060901013850310015
WG_ZS_MAG_00001	203.8124404856231	113.17531675957966	187.81430568334213	336.22983464877944	362.48474799963105	379.0327097874394	372.1037353623607	42.83756885692188	333.4953592385944	22.174587331508974	10.09819889923533	27.15920027814767	174.22967712637507	223.0915214630189	0.824026187508426
