contig	DG_001_EKDN220039120_1A_HCHH2DSX5_L1	DG_002_EKDN220039121_1A_HCHH2DSX5_L1	DG_003_EKDN220039122_1A_HCHH2DSX5_L1	DG_004_EKDN220039123_1A_HCHH2DSX5_L1	PW_001_EKDN220039127_1A_HCHH2DSX5_L1	PW_002_EKDN220039128_1A_HCHH2DSX5_L1	PW_003_EKDN220039129_1A_HCHH2DSX5_L1	SZ_001_EKDN220039124_1A_HCHH2DSX5_L1	SZ_003_EKDN220039126_1A_HCHH2DSX5_L1	WG_001_EKDN220039117_1A_HCHH2DSX5_L1	WG_002_EKDN220039118_1A_HCHH2DSX5_L1	WG_003_EKDN220039119_1A_HCHH2DSX5_L1	W_001_EKDN220039130_1A_HCHMYDSX5_L1	W_003_EKDN220039132_1A_HCHH2DSX5_L1	merged_SZ_002
p_00003888	0.3151515151515151	0.36185383244206776	0.3373860182370821	0.22012257405515834	0.2457200402819738	0.257168458781362	0.2490372272143774	0.22344322344322345	0.2878535773710483	0.16379310344827586	0.16326530612244897	0.20075757575757575	0.3734533183352081	0.36597938144329895	0.0
p_00003889	0.2602739726027397	0.30677290836653387	0.2701863354037267	0.15210526315789474	0.17860746720484358	0.18112014453477868	0.17853881278538813	0.1811320754716981	0.23247453565008988	0.10714285714285714	0.11724137931034483	0.16666666666666666	0.3435722411831627	0.3222308288148722	0.0
p_00003890	0.22885572139303484	0.23700623700623702	0.22106824925816024	0.12694300518134716	0.1486417221937468	0.15705412599822538	0.1495956873315364	0.15460526315789475	0.1950087057457922	0.09302325581395349	0.12422360248447205	0.13970588235294118	0.2733485193621868	0.26993865030674846	0.0
p_00003891	0.2397003745318352	0.24375	0.22835820895522388	0.14420062695924765	0.1719316416364578	0.18540080609046125	0.1709750566893424	0.16279069767441862	0.20852803738317757	0.09302325581395349	0.12422360248447205	0.14760147601476015	0.2821387940841866	0.2835481425322214	0.0
p_00003892	0.40324594257178525	0.3902439024390244	0.40969162995594716	0.44648478488982163	0.40975865687303253	0.40413793103448276	0.4126034958601656	0.3754152823920266	0.38506417736289383	0.4055299539170507	0.37423312883435583	0.4291044776119403	0.32987312572087657	0.3270249810749432	0.4
p_00003893	0.05352480417754569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00003894	0.25620915032679736	0.2651821862348178	0.2481089258698941	0.16351861845655694	0.1708994708994709	0.2363890181479758	0.19327731092436976	0.16610169491525423	0.22456140350877193	0.12385321100917432	0.13414634146341464	0.13725490196078433	0.3104265402843602	0.2906178489702517	0.0
p_00003895	0.05872756933115824	0.0	0.06133828996282528	0.0	0.08762612851832183	0.07989578810247504	0.10014306151645208	0.0851063829787234	0.14362017804154303	0.0	0.0	0.0	0.09831460674157304	0.08569051580698835	0.0
p_00003896	0.05140961857379768	0.0	0.055658627087198514	0.0	0.08461131676361713	0.0774617067833698	0.09285714285714286	0.09012875536480687	0.13187463039621525	0.0	0.0	0.0	0.0938375350140056	0.08745874587458746	0.0
p_00003897	0.06269592476489028	0.0	0.08867924528301886	0.0	0.07829181494661921	0.08194506978838362	0.0803886925795053	0.07782101167315175	0.11653116531165311	0.0	0.0	0.0	0.12315930388219545	0.1262509622786759	0.0
p_00003898	0.17073170731707318	0.19822485207100593	0.21217712177121772	0.09619815668202765	0.14049114791547687	0.13192346424974824	0.12876171682289098	0.1506276150627615	0.15716180371352786	0.13227513227513227	0.112	0.10952380952380952	0.27419354838709675	0.2542372881355932	0.0
p_00003899	0.1443478260869565	0.17302052785923755	0.19152854511970535	0.0677382319173364	0.10358565737051793	0.11138986452584045	0.10360138135175136	0.14705882352941177	0.12962962962962962	0.12169312169312169	0.1111111111111111	0.10526315789473684	0.25161290322580643	0.23768939393939395	0.0
p_00003900	0.15265866209262435	0.1826086956521739	0.19553072625698323	0.07449856733524356	0.10914285714285714	0.11345381526104417	0.10643564356435643	0.13924050632911392	0.12967914438502673	0.13227513227513227	0.128	0.10837438423645321	0.2604501607717042	0.22998137802607077	0.0
p_00003902	0.06465517241379311	0.05653710247349823	0.0	0.05776892430278884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00007368	0.05555555555555555	0.2777777777777778	0.09333333333333334	0.0	0.0	0.0	0.0	0.1702127659574468	0.0	0.29411764705882354	0.30303030303030304	0.375	0.0	0.0	0.14285714285714285
p_00007369	0.08264462809917356	0.08695652173913043	0.125	0.0	0.0	0.0	0.0	0.208955223880597	0.0	0.18	0.3888888888888889	0.2777777777777778	0.0	0.0	0.3157894736842105
p_00016900	0.0	0.0	0.05719921104536489	0.0	0.0	0.0	0.05130890052356021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00025132	0.0	0.0	0.0	0.053003533568904596	0.06129722024233785	0.05806451612903226	0.06369820655534941	0.0	0.07722308892355695	0.0	0.0	0.0	0.0	0.0	0.0
p_00025141	0.0	0.0	0.0	0.05123456790123457	0.0629874025194961	0.05043859649122807	0.05542986425339366	0.0	0.05671077504725898	0.0	0.0	0.0	0.06073752711496746	0.0	0.0
p_00025142	0.0	0.0	0.0	0.06139817629179331	0.07133838383838384	0.06320541760722348	0.06239460370994941	0.0	0.07258587167854828	0.0	0.0	0.0	0.06666666666666667	0.0	0.0
p_00025143	0.0	0.0	0.0	0.0510688836104513	0.06430288461538461	0.051130247578040904	0.0	0.0	0.06745783885071831	0.0	0.0	0.0	0.07510729613733906	0.051351351351351354	0.0
p_00026695	0.0	0.0	0.0	0.05561861520998865	0.05436802973977695	0.0	0.0	0.0	0.05019965772960639	0.0	0.0	0.0	0.0	0.0	0.0
p_00026697	0.0	0.0	0.0	0.0508274231678487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00056195	0.0	0.0	0.0	0.0	0.06469604015616286	0.0562172463077656	0.054442732408834106	0.0	0.06642728904847396	0.0	0.0	0.0	0.0	0.0	0.0
p_00056196	0.0	0.0	0.0	0.0	0.06092560046865846	0.057349397590361444	0.06180074587107086	0.0	0.06528562460765851	0.0	0.0	0.0	0.0	0.0	0.0
p_00056197	0.0	0.0	0.0	0.0	0.05253623188405797	0.0	0.05470459518599562	0.0	0.06710963455149502	0.0	0.0	0.0	0.0	0.0	0.0
p_00056198	0.0	0.0	0.0	0.0	0.05500705218617771	0.05213825424721734	0.05744286596664608	0.0	0.07596899224806201	0.0	0.0	0.0	0.0	0.05314009661835749	0.0
p_00056199	0.0	0.0	0.0	0.0	0.0511727078891258	0.0	0.05707196029776675	0.0	0.06656225528582616	0.0	0.0	0.0	0.0	0.0	0.0
p_00056200	0.0	0.0	0.0	0.0	0.06639004149377593	0.0701219512195122	0.07037943696450429	0.0	0.0654490106544901	0.0	0.0	0.0	0.05333333333333334	0.06443914081145585	0.0
p_00056213	0.0	0.0	0.0	0.0	0.06486833654463713	0.0	0.0	0.0	0.06382978723404255	0.0	0.0	0.0	0.05856832971800434	0.0	0.0
p_00056214	0.0	0.0	0.0	0.0	0.053791315618924175	0.0	0.0	0.0	0.060304837640821736	0.0	0.0	0.0	0.05274725274725275	0.0	0.0
p_00057040	0.0	0.0	0.0	0.0	0.053565560302333226	0.0	0.06278713629402756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
